type,id,topicId,text_de,text_en,answer0_de,answer0_en,answer1_de,answer1_en,answer2_de,answer2_en,answer3_de,answer3_en,explanation_de,explanation_en
general,"Q001","democracy","In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","hier Religionsfreiheit gilt.","hier Religionsfreiheit gilt.","die Menschen Steuern zahlen.","die Menschen Steuern zahlen.","die Menschen das Wahlrecht haben.","die Menschen das Wahlrecht haben.","hier Meinungsfreiheit gilt.","hier Meinungsfreiheit gilt.","Die Meinungsfreiheit ist als Grundrecht im Grundgesetz verankert.","Die Meinungsfreiheit ist als Grundrecht im Grundgesetz verankert."
general,"Q002","people_society","In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","Geschichtsunterricht teilnimmt.","Geschichtsunterricht teilnimmt.","Religionsunterricht teilnimmt.","Religionsunterricht teilnimmt.","Politikunterricht teilnimmt.","Politikunterricht teilnimmt.","Sprachunterricht teilnimmt.","Sprachunterricht teilnimmt.","Die Teilnahme am Religionsunterricht ist bis 14 vor allem Entscheidung der Eltern.","Die Teilnahme am Religionsunterricht ist bis 14 vor allem Entscheidung der Eltern."
general,"Q003","democracy","Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.","Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.","Der Staat muss sich nicht an die Gesetze halten.","Der Staat muss sich nicht an die Gesetze halten.","Nur Deutsche müssen die Gesetze befolgen.","Nur Deutsche müssen die Gesetze befolgen.","Die Gerichte machen die Gesetze.","Die Gerichte machen die Gesetze.","Im Rechtsstaat sind Staat und Bürger an Recht und Gesetz gebunden.","Im Rechtsstaat sind Staat und Bürger an Recht und Gesetz gebunden."
general,"Q004","democracy","Welches Recht gehört zu den Grundrechten in Deutschland?","Welches Recht gehört zu den Grundrechten in Deutschland?","Waffenbesitz","Waffenbesitz","Faustrecht","Faustrecht","Meinungsfreiheit","Meinungsfreiheit","Selbstjustiz","Selbstjustiz","Meinungsfreiheit ist ein im Grundgesetz garantiertes Grundrecht.","Meinungsfreiheit ist ein im Grundgesetz garantiertes Grundrecht."
general,"Q005","democracy","Wahlen in Deutschland sind frei. Was bedeutet das?","Wahlen in Deutschland sind frei. Was bedeutet das?","Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.","Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.","Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.","Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.","Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.","Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.","Alle wahlberechtigten Personen müssen wählen.","Alle wahlberechtigten Personen müssen wählen.","Freiheit der Wahl bedeutet Entscheidung ohne Zwang oder unzulässige Einflussnahme.","Freiheit der Wahl bedeutet Entscheidung ohne Zwang oder unzulässige Einflussnahme."
general,"Q006","democracy","Wie heißt die deutsche Verfassung?","Wie heißt die deutsche Verfassung?","Volksgesetz","Volksgesetz","Bundesgesetz","Bundesgesetz","Deutsches Gesetz","Deutsches Gesetz","Grundgesetz","Grundgesetz","Die Verfassung Deutschlands heißt Grundgesetz (GG).","Die Verfassung Deutschlands heißt Grundgesetz (GG)."
general,"Q007","democracy","Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Glaubens- und Gewissensfreiheit","Glaubens- und Gewissensfreiheit","Unterhaltung","Unterhaltung","Arbeit","Arbeit","Wohnung","Wohnung","Die Glaubens- und Gewissensfreiheit ist im Grundgesetz geschützt.","Die Glaubens- und Gewissensfreiheit ist im Grundgesetz geschützt."
general,"Q008","democracy","Was steht nicht im Grundgesetz von Deutschland?","Was steht nicht im Grundgesetz von Deutschland?","Die Würde des Menschen ist unantastbar.","Die Würde des Menschen ist unantastbar.","Alle sollen gleich viel Geld haben.","Alle sollen gleich viel Geld haben.","Jeder Mensch darf seine Meinung sagen.","Jeder Mensch darf seine Meinung sagen.","Alle sind vor dem Gesetz gleich.","Alle sind vor dem Gesetz gleich.","Gleiches Einkommen ist kein verfassungsrechtlicher Grundsatz.","Gleiches Einkommen ist kein verfassungsrechtlicher Grundsatz."
general,"Q009","democracy","Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …","Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …","Schutz der Familie","Schutz der Familie","Menschenwürde","Menschenwürde","Asyl","Asyl","Meinungsfreiheit","Meinungsfreiheit","Das Grundrecht auf Asyl richtet sich ausdrücklich an politisch Verfolgte aus dem Ausland.","Das Grundrecht auf Asyl richtet sich ausdrücklich an politisch Verfolgte aus dem Ausland."
general,"Q010","people_society","Was ist mit dem deutschen Grundgesetz vereinbar?","Was ist mit dem deutschen Grundgesetz vereinbar?","die Prügelstrafe","die Prügelstrafe","die Folter","die Folter","die Todesstrafe","die Todesstrafe","die Geldstrafe","die Geldstrafe","Körperliche Züchtigung, Folter und Todesstrafe sind verboten; Geldstrafe ist zulässig.","Körperliche Züchtigung, Folter und Todesstrafe sind verboten; Geldstrafe ist zulässig."
